,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location,Amenities,Cost of Living,Crime,Education,Employment
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.053,0.92,0.115,0.035,0.092,0.129,0.081,Spuyten Duyvil,BX29,"{'lat': 40.88121, 'lng': -73.91736}",0.9775000000000001,0.66275,0.05495,0.35965,0.008100000000000001
101,0.0,1.0,0.4,0.05,0.2,0.95,0.0,0.0,1.0,0.053,0.92,0.115,0.035,0.092,0.129,0.081,Kingsbridge,BX29,"{'lat': 50.28451, 'lng': -3.77638}",0.36900000000000005,0.46275,0.05495,0.12215,0.008100000000000001
103,0.0,1.0,0.2,0.25,0.25,1.0,0.2,0.05,1.0,0.065,0.909,0.129,0.025,0.069,0.217,0.141,Allerton,BX31,"{'lat': 39.9117, 'lng': -87.93642}",0.3595,0.48550000000000004,0.040400000000000005,0.24695,0.0141
105,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.136,0.835,0.385,0.08199999999999999,0.179,0.43700000000000006,0.127,Longwood,BX33,"{'lat': 28.70305, 'lng': -81.3384}",0.8255000000000001,0.6127499999999999,0.11595,0.6214500000000001,0.012700000000000001
108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.157,0.858,0.36200000000000004,0.067,0.11800000000000001,0.374,0.158,Morrisania,BX35,"{'lat': 40.82927, 'lng': -73.90653}",0.9775000000000001,0.70415,0.08485000000000001,0.5679000000000001,0.0158
109,0.45,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.157,0.858,0.36200000000000004,0.067,0.11800000000000001,0.374,0.158,Melrose,BX35,"{'lat': 42.45843, 'lng': -71.06616}",0.881,0.64915,0.08485000000000001,0.5679000000000001,0.0158
110,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.12300000000000001,0.8220000000000001,0.415,0.049,0.087,0.318,0.196,University Heights,BX36,"{'lat': 41.49783, 'lng': -81.53735}",0.8355,0.6155499999999999,0.062299999999999994,0.5203,0.019600000000000003
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.12300000000000001,0.8220000000000001,0.415,0.049,0.087,0.318,0.196,Morris Heights,BX36,"{'lat': 40.84982, 'lng': -73.91986}",0.9775000000000001,0.69555,0.062299999999999994,0.5203,0.019600000000000003
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Van Nest,BX37,"{'lat': 40.84843, 'lng': -73.86375}",0.9775000000000001,0.67945,0.0701,0.46675,0.014400000000000003
113,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Morris Park,BX37,"{'lat': 29.93854, 'lng': -90.09063}",0.8184999999999999,0.58945,0.0701,0.46675,0.014400000000000003
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Westchester Square,BX37,"{'lat': 40.84083, 'lng': -73.84306}",0.9775000000000001,0.67945,0.0701,0.46675,0.014400000000000003
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.135,0.8140000000000001,0.46399999999999997,0.052000000000000005,0.154,0.429,0.14800000000000002,Mott Haven,BX39,"{'lat': 40.80899, 'lng': -73.92291}",0.9775000000000001,0.7022499999999999,0.0877,0.6146499999999999,0.014800000000000002
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.135,0.8140000000000001,0.46399999999999997,0.052000000000000005,0.154,0.429,0.14800000000000002,Port Morris,BX39,"{'lat': 40.80149, 'lng': -73.90958}",0.9775000000000001,0.7022499999999999,0.0877,0.6146499999999999,0.014800000000000002
118,0.05,1.0,0.0,0.05,0.0,0.8,0.0,0.0,0.55,0.187,0.8340000000000001,0.38799999999999996,0.06,0.099,0.355,0.18,Mount Hope,BX41,"{'lat': 37.89539, 'lng': -81.16427}",0.23250000000000004,0.38065,0.07365,0.31425,0.018
119,0.35,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.172,0.846,0.294,0.055999999999999994,0.12,0.27699999999999997,0.14300000000000002,Norwood,BX43,"{'lat': 42.19454, 'lng': -71.1995}",0.8640000000000001,0.6343,0.0784,0.48544999999999994,0.014300000000000002
122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.084,0.893,0.17,0.028999999999999998,0.08199999999999999,0.18899999999999997,0.133,Parkchester,BX46,"{'lat': 40.83899, 'lng': -73.86041}",0.9775000000000001,0.67195,0.047549999999999995,0.41064999999999996,0.013300000000000001
124,0.2,1.0,0.35,0.75,1.0,1.0,1.0,0.0,1.0,0.031,0.9,0.16,0.025,0.054000000000000006,0.18,0.099,Schuylerville,BX52,"{'lat': 43.10008, 'lng': -73.58178}",0.635,0.57875,0.03515,0.3405,0.0099
125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.031,0.9,0.16,0.025,0.054000000000000006,0.18,0.099,Throgs Neck,BX52,"{'lat': 40.8226, 'lng': -73.81958}",0.9775000000000001,0.6587500000000001,0.03515,0.403,0.0099
126,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.031,0.9,0.16,0.025,0.054000000000000006,0.18,0.099,Edgewater Park,BX52,"{'lat': 40.06817, 'lng': -74.90072}",0.9405000000000001,0.6387499999999999,0.03515,0.403,0.0099
128,0.0,1.0,0.65,0.05,1.0,1.0,0.0,0.0,1.0,0.163,0.789,0.355,0.063,0.146,0.41200000000000003,0.135,Bruckner,BX55,"{'lat': 47.83442, 'lng': 11.41299}",0.565,0.4946,0.09204999999999999,0.3627,0.013500000000000002
129,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.121,0.857,0.228,0.052000000000000005,0.111,0.276,0.163,Westchester,BX59,"{'lat': 41.85059, 'lng': -87.882}",0.9065000000000001,0.6416000000000001,0.07264999999999999,0.48460000000000003,0.016300000000000002
130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.121,0.857,0.228,0.052000000000000005,0.111,0.276,0.163,Unionport,BX59,"{'lat': 40.82732, 'lng': -73.85013}",0.9775000000000001,0.6816000000000001,0.07264999999999999,0.48460000000000003,0.016300000000000002
131,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.059000000000000004,0.862,0.155,0.057,0.091,0.16399999999999998,0.134,Woodlawn,BX62,"{'lat': 39.32288, 'lng': -76.72803}",0.9475000000000001,0.64455,0.06889999999999999,0.38939999999999997,0.013400000000000002
132,0.15,1.0,1.0,0.7,1.0,1.0,0.2,0.0,1.0,0.059000000000000004,0.862,0.155,0.057,0.091,0.16399999999999998,0.134,Wakefield,BX62,"{'lat': 53.68331, 'lng': -1.49768}",0.7655000000000001,0.49455,0.06889999999999999,0.31439999999999996,0.013400000000000002
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,Rikers Island,BX98,"{'lat': 40.79066, 'lng': -73.88097}",0.9775000000000001,0.5,0.0,0.25,0.0
137,0.0,0.85,0.05,0.1,0.1,1.0,0.2,0.0,0.45,0.14800000000000002,0.8290000000000001,0.26899999999999996,0.036000000000000004,0.08800000000000001,0.298,0.165,Marble Hill,MN01,"{'lat': 37.30589, 'lng': -89.97038}",0.25150000000000006,0.34325,0.054200000000000005,0.2783,0.0165
138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14800000000000002,0.8290000000000001,0.26899999999999996,0.036000000000000004,0.08800000000000001,0.298,0.165,Inwood,MN01,"{'lat': 40.62205, 'lng': -73.7468}",0.9775000000000001,0.68825,0.054200000000000005,0.5033,0.0165
141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.08800000000000001,0.818,0.28800000000000003,0.046,0.105,0.263,0.12,Hamilton Heights,MN04,"{'lat': 40.82444, 'lng': -73.95}",0.9760000000000002,0.6735000000000001,0.06665,0.47355,0.012
142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.09,0.831,0.331,0.055,0.14800000000000002,0.335,0.091,Manhattanville,MN06,"{'lat': 40.81694, 'lng': -73.95583}",0.9760000000000002,0.6802499999999999,0.08755000000000002,0.5347500000000001,0.0091
143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.04,0.9259999999999999,0.242,0.031,0.092,0.11699999999999999,0.073,Morningside Heights,MN09,"{'lat': 40.81, 'lng': -73.9625}",0.9760000000000002,0.6731,0.05235,0.34945,0.0073
145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.031,0.924,0.10800000000000001,0.019,0.079,0.068,0.065,Upper West Side,MN12,"{'lat': 40.78705, 'lng': -73.97542}",0.9760000000000002,0.65715,0.039999999999999994,0.3078,0.006500000000000001
147,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,0.04,0.93,0.126,0.044000000000000004,0.24,0.057999999999999996,0.066,Chelsea,MN13,"{'lat': 51.48755, 'lng': -0.16936}",0.9595000000000001,0.6021000000000001,0.11259999999999999,0.2993,0.006600000000000001
148,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.04,0.93,0.126,0.044000000000000004,0.24,0.057999999999999996,0.066,Flat Iron,MN13,"{'lat': 39.53228, 'lng': -84.24883}",0.8345000000000001,0.5771,0.11259999999999999,0.2993,0.006600000000000001
149,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.04,0.93,0.126,0.044000000000000004,0.24,0.057999999999999996,0.066,Union Square,MN13,"{'lat': 39.28677, 'lng': -76.64136}",0.9475000000000001,0.6471,0.11259999999999999,0.2993,0.006600000000000001
150,0.0,1.0,0.1,0.25,0.2,1.0,0.2,0.05,0.95,0.03,0.9590000000000001,0.08,0.016,0.096,0.026000000000000002,0.057,Lincoln Square,MN14,"{'lat': 40.11059, 'lng': -88.20699}",0.3255,0.46435000000000004,0.044,0.08460000000000001,0.0057
151,0.0,1.0,0.9,1.0,0.7,1.0,1.0,0.0,1.0,0.037000000000000005,0.882,0.124,0.051,0.212,0.081,0.078,Clinton,MN15,"{'lat': 42.05754, 'lng': -83.94812}",0.726,0.5539499999999999,0.10734999999999999,0.31884999999999997,0.0078000000000000005
152,0.0,1.0,0.3,0.25,0.2,1.0,0.5,0.0,1.0,0.023,0.9359999999999999,0.134,0.19699999999999998,1.197,0.038,0.055999999999999994,Midtown,MN17,"{'lat': 35.87952, 'lng': -84.5641}",0.38500000000000006,0.50955,0.5469999999999999,0.0948,0.0056
154,0.0,1.0,1.0,0.95,0.65,1.0,1.0,0.0,1.0,0.022000000000000002,0.961,0.062,0.032,0.11900000000000001,0.02,0.043,Turtle Bay,MN19,"{'lat': 26.79923, 'lng': -82.17676}",0.738,0.55585,0.062450000000000006,0.2545,0.0043
156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.045,0.943,0.125,0.036000000000000004,0.138,0.045,0.055,Murray Hill,MN20,"{'lat': 40.76, 'lng': -73.81306}",0.9775000000000001,0.6651999999999999,0.07170000000000001,0.28825,0.0055000000000000005
157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.045,0.943,0.125,0.036000000000000004,0.138,0.045,0.055,Kips Bay,MN20,"{'lat': 40.73955, 'lng': -73.97708}",0.9760000000000002,0.6651999999999999,0.07170000000000001,0.28825,0.0055000000000000005
158,0.0,1.0,1.0,0.2,0.45,1.0,0.7,0.0,1.0,0.036000000000000004,0.9440000000000001,0.092,0.031,0.168,0.028999999999999998,0.079,Gramercy,MN21,"{'lat': 30.04742, 'lng': -90.68981}",0.6070000000000001,0.5297999999999999,0.07894999999999999,0.07465,0.0079
159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.03,0.903,0.147,0.038,0.174,0.067,0.053,East Village,MN22,"{'lat': 40.72927, 'lng': -73.98736}",0.9760000000000002,0.65765,0.08559999999999998,0.30695,0.0053
160,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.033,0.956,0.069,0.048,0.231,0.013999999999999999,0.053,West Village,MN23,"{'lat': 40.73361, 'lng': -74.00917}",0.9760000000000002,0.65855,0.11205000000000001,0.2619,0.0053
161,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,SoHo,MN24,"{'lat': 51.5144, 'lng': -0.13535}",0.9595000000000001,0.6045,0.11845,0.3282,0.005000000000000001
162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,TriBeCa,MN24,"{'lat': 40.71538, 'lng': -74.00931}",0.9760000000000002,0.6645,0.11845,0.3282,0.005000000000000001
163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,Civic Center,MN24,"{'lat': 40.71403, 'lng': -74.00283}",0.9760000000000002,0.6645,0.11845,0.3282,0.005000000000000001
164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.054000000000000006,0.94,0.1,0.06,0.22699999999999998,0.092,0.05,Little Italy,MN24,"{'lat': 37.80076, 'lng': -122.4108}",0.9715000000000001,0.6645,0.11845,0.3282,0.005000000000000001
165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.062,0.945,0.076,0.021,0.111,0.040999999999999995,0.043,Battery Park City,MN25,"{'lat': 40.71149, 'lng': -74.01625}",0.9760000000000002,0.6648499999999999,0.0525,0.28485,0.0043
167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.139,0.848,0.29,0.044000000000000004,0.147,0.387,0.091,Chinatown,MN27,"{'lat': 40.716, 'lng': -73.9974}",0.9760000000000002,0.6909500000000001,0.08005,0.5789500000000001,0.0091
168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.055,0.9,0.282,0.032,0.08900000000000001,0.309,0.11199999999999999,Lower East Side,MN28,"{'lat': 40.71594, 'lng': -73.98681}",0.9760000000000002,0.67695,0.05195,0.51265,0.0112
170,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.038,0.95,0.08199999999999999,0.017,0.057,0.036000000000000004,0.043,Roosevelt Island,MN31,"{'lat': 40.76403, 'lng': -73.9482}",0.9760000000000002,0.6601999999999999,0.031,0.2806,0.0043
171,0.0,1.0,0.5,0.3,0.3,1.0,0.55,0.0,0.6,0.032,0.934,0.07200000000000001,0.015,0.053,0.04,0.054000000000000006,Yorkville,MN32,"{'lat': 43.11285, 'lng': -75.271}",0.4605,0.3903,0.0283,0.109,0.005400000000000001
176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.02,0.976,0.059000000000000004,0.016,0.13699999999999998,0.02,0.044000000000000004,Upper East Side,MN40,"{'lat': 40.77833, 'lng': -73.95189}",0.9760000000000002,0.6573,0.05834999999999999,0.267,0.0044
177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.02,0.976,0.059000000000000004,0.016,0.13699999999999998,0.02,0.044000000000000004,Carnegie Hill,MN40,"{'lat': 40.78333, 'lng': -73.95472}",0.9760000000000002,0.6573,0.05834999999999999,0.267,0.0044
178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.013999999999999999,0.932,0.111,0.003,0.031,0.024,0.046,Stuyvesant Town,MN50,"{'lat': 40.73167, 'lng': -73.97833}",0.9760000000000002,0.6544,0.012799999999999999,0.2704,0.0046
179,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.013999999999999999,0.932,0.111,0.003,0.031,0.024,0.046,Cooper Village,MN50,"{'lat': 39.82011, 'lng': -75.1174}",0.9235,0.6244,0.012799999999999999,0.2704,0.0046
184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.07400000000000001,0.8959999999999999,0.12,0.055999999999999994,0.105,0.146,0.11699999999999999,Brookville,QN03,"{'lat': 40.81316, 'lng': -73.56735}",0.9775000000000001,0.6648999999999999,0.07314999999999999,0.3741,0.0117
185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.065,0.8909999999999999,0.087,0.038,0.087,0.11900000000000001,0.066,Rosedale,QN05,"{'lat': 40.66205, 'lng': -73.73541}",0.9775000000000001,0.6586,0.05514999999999999,0.35115,0.006600000000000001
186,0.05,1.0,0.5,0.65,0.4,1.0,0.65,0.0,1.0,0.081,0.89,0.128,0.027000000000000003,0.08800000000000001,0.135,0.07200000000000001,Jamaica Estates,QN06,"{'lat': 33.53347, 'lng': -82.12345}",0.5299999999999999,0.53655,0.048350000000000004,0.27725,0.0072000000000000015
188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.081,0.852,0.11599999999999999,0.051,0.075,0.16899999999999998,0.151,Hollis,QN07,"{'lat': 40.71344, 'lng': -73.76708}",0.9775000000000001,0.6596500000000001,0.059399999999999994,0.39364999999999994,0.0151
189,0.0,1.0,0.25,0.15,0.25,1.0,0.7,0.05,1.0,0.062,0.8740000000000001,0.09300000000000001,0.059000000000000004,0.079,0.126,0.136,St. Albans,QN08,"{'lat': 44.81088, 'lng': -73.08319}",0.3755,0.5259,0.066,0.1446,0.013600000000000001
190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Breezy Point,QN10,"{'lat': 40.55649, 'lng': -73.92625}",0.9745000000000001,0.6563500000000001,0.04125,0.3503,0.008
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Belle Harbor,QN10,"{'lat': 40.57594, 'lng': -73.84819}",0.9745000000000001,0.6563500000000001,0.04125,0.3503,0.008
192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Rockaway Park,QN10,"{'lat': 40.58011, 'lng': -73.83625}",0.9760000000000002,0.6563500000000001,0.04125,0.3503,0.008
193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.04,0.925,0.076,0.036000000000000004,0.051,0.11800000000000001,0.08,Broad Channel,QN10,"{'lat': 40.60316, 'lng': -73.82041}",0.9775000000000001,0.6563500000000001,0.04125,0.3503,0.008
195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.063,0.884,0.26,0.07,0.08800000000000001,0.255,0.147,Arverne,QN12,"{'lat': 40.59122, 'lng': -73.79597}",0.9760000000000002,0.67435,0.0763,0.46675,0.0147
196,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.063,0.884,0.26,0.07,0.08800000000000001,0.255,0.147,Edgemere,QN12,"{'lat': 39.24205, 'lng': -76.44802}",0.9390000000000002,0.65435,0.0763,0.46675,0.0147
197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.11800000000000001,0.865,0.23199999999999998,0.055999999999999994,0.076,0.29100000000000004,0.102,Far Rockaway,QN15,"{'lat': 40.60538, 'lng': -73.75513}",0.9760000000000002,0.68245,0.063,0.49735,0.0102
198,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,0.11800000000000001,0.865,0.23199999999999998,0.055999999999999994,0.076,0.29100000000000004,0.102,Bayswater,QN15,"{'lat': 51.51116, 'lng': -0.18426}",0.9595000000000001,0.6224500000000001,0.063,0.49735,0.0102
199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.051,0.9129999999999999,0.102,0.015,0.052000000000000005,0.07400000000000001,0.068,Forest Hills,QN17,"{'lat': 40.71621, 'lng': -73.85014}",0.9775000000000001,0.6599,0.027950000000000003,0.3129,0.0068000000000000005
200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.049,0.865,0.10099999999999999,0.027000000000000003,0.069,0.10099999999999999,0.077,Rego Park,QN18,"{'lat': 40.72649, 'lng': -73.85264}",0.9775000000000001,0.6521,0.0417,0.33585,0.0077
201,0.45,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.035,0.879,0.12,0.024,0.062,0.16399999999999998,0.08,Glendale,QN19,"{'lat': 33.53865, 'lng': -112.18599}",0.8765000000000001,0.5976,0.0373,0.38939999999999997,0.008
202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.077,0.79,0.201,0.040999999999999995,0.09,0.23,0.081,Ridgewood,QN20,"{'lat': 40.7001, 'lng': -73.90569}",0.9760000000000002,0.65785,0.05814999999999999,0.4455,0.008100000000000001
203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.028999999999999998,0.907,0.09,0.012,0.057,0.149,0.079,Middle Village,QN21,"{'lat': 40.71649, 'lng': -73.88125}",0.9775000000000001,0.6523,0.02775,0.37665,0.0079
204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.158,0.7509999999999999,0.23600000000000002,0.036000000000000004,0.09300000000000001,0.262,0.083,Flushing,QN22,"{'lat': 40.76538, 'lng': -73.81736}",0.9775000000000001,0.67575,0.05595000000000001,0.4727,0.0083
205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.084,0.81,0.129,0.043,0.048,0.21100000000000002,0.092,College Point,QN23,"{'lat': 40.7876, 'lng': -73.84597}",0.9775000000000001,0.6554000000000001,0.04475,0.42935,0.0092
206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,0.204,0.727,0.239,0.035,0.047,0.33799999999999997,0.075,Corona,QN25,"{'lat': 33.87529, 'lng': -117.56644}",0.9805000000000001,0.6839500000000001,0.0392,0.5372999999999999,0.0075
208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.157,0.7390000000000001,0.20600000000000002,0.052000000000000005,0.08900000000000001,0.25,0.091,East Elmhurst,QN27,"{'lat': 40.76121, 'lng': -73.86514}",0.9775000000000001,0.6707,0.06495000000000001,0.4625,0.0091
209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14300000000000002,0.767,0.184,0.032,0.085,0.23600000000000002,0.094,Jackson Heights,QN28,"{'lat': 40.75566, 'lng': -73.88541}",0.9775000000000001,0.6691999999999999,0.05055,0.4506,0.0094
210,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.214,0.726,0.205,0.031,0.076,0.306,0.062,Elmhurst,QN29,"{'lat': 41.89947, 'lng': -87.94034}",0.9065000000000001,0.6428999999999999,0.04675,0.5101,0.006200000000000001
211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.049,0.83,0.12,0.043,0.065,0.157,0.09,Maspeth,QN30,"{'lat': 40.72316, 'lng': -73.91264}",0.9775000000000001,0.6487499999999999,0.050699999999999995,0.38344999999999996,0.009
212,0.0,1.0,0.4,0.5,0.35,1.0,0.35,0.0,0.5,0.10300000000000001,0.784,0.142,0.032,0.095,0.163,0.065,Hunters Point,QN31,"{'lat': 32.30153, 'lng': -86.23663}",0.4605,0.34254999999999997,0.05405,0.26355,0.006500000000000001
